Date;Alerts
15/05/2021;1
16/05/2021;1
17/05/2021;1
18/05/2021;0
19/05/2021;1
20/05/2021;0
21/05/2021;0
22/05/2021;2
23/05/2021;0
24/05/2021;2
25/05/2021;1
26/05/2021;2
27/05/2021;0
28/05/2021;0
29/05/2021;2
30/05/2021;2
31/05/2021;1
1/06/2021;2
2/06/2021;2
3/06/2021;1
4/06/2021;0
5/06/2021;1
6/06/2021;1
7/06/2021;0
8/06/2021;1
9/06/2021;2
10/06/2021;2
11/06/2021;2
12/06/2021;1
13/06/2021;0
14/06/2021;2
15/06/2021;0
16/06/2021;2
17/06/2021;1
18/06/2021;1
19/06/2021;0
20/06/2021;1
21/06/2021;2
22/06/2021;0
23/06/2021;1
24/06/2021;0
25/06/2021;0
26/06/2021;2
27/06/2021;1
28/06/2021;0
29/06/2021;0
30/06/2021;0
1/07/2021;2
2/07/2021;1
3/07/2021;0
4/07/2021;2
5/07/2021;1
6/07/2021;1
7/07/2021;1
8/07/2021;0
9/07/2021;0
10/07/2021;1
11/07/2021;0
12/07/2021;2
13/07/2021;2
14/07/2021;0
15/07/2021;0
16/07/2021;0
17/07/2021;1
18/07/2021;1
19/07/2021;0
20/07/2021;2
21/07/2021;2
22/07/2021;0
23/07/2021;2
24/07/2021;2
25/07/2021;2
26/07/2021;0
27/07/2021;0
28/07/2021;2
29/07/2021;2
30/07/2021;1
31/07/2021;1
1/08/2021;1
2/08/2021;2
3/08/2021;0
4/08/2021;1
5/08/2021;1
6/08/2021;1
7/08/2021;2
8/08/2021;1
9/08/2021;0
10/08/2021;2
11/08/2021;1
12/08/2021;0
13/08/2021;0
14/08/2021;0
15/08/2021;1
16/08/2021;0
17/08/2021;1
18/08/2021;0
19/08/2021;1
20/08/2021;2
21/08/2021;0
22/08/2021;1
23/08/2021;0
24/08/2021;1
25/08/2021;1
26/08/2021;0
27/08/2021;1
28/08/2021;1
29/08/2021;2
30/08/2021;0
31/08/2021;0
1/09/2021;0
2/09/2021;2
3/09/2021;1
4/09/2021;1
5/09/2021;1
6/09/2021;0
7/09/2021;0
8/09/2021;1
9/09/2021;0
10/09/2021;1
11/09/2021;1
12/09/2021;2
13/09/2021;0
14/09/2021;1
15/09/2021;1
16/09/2021;1
17/09/2021;2
18/09/2021;1
19/09/2021;0
20/09/2021;0
21/09/2021;2
22/09/2021;1
23/09/2021;0
24/09/2021;1
25/09/2021;0
26/09/2021;1
27/09/2021;2
28/09/2021;1
29/09/2021;0
30/09/2021;0
1/10/2021;1
2/10/2021;1
3/10/2021;2
4/10/2021;0
5/10/2021;0
6/10/2021;1
7/10/2021;1
8/10/2021;2
9/10/2021;1
10/10/2021;2
11/10/2021;0
12/10/2021;0
13/10/2021;2
14/10/2021;1
15/10/2021;2
16/10/2021;2
17/10/2021;0
18/10/2021;2
19/10/2021;1
20/10/2021;2
21/10/2021;2
22/10/2021;0
23/10/2021;1
24/10/2021;2
25/10/2021;1
26/10/2021;0
27/10/2021;0
28/10/2021;2
29/10/2021;1
30/10/2021;1
31/10/2021;0
1/11/2021;1
2/11/2021;1
3/11/2021;0
4/11/2021;2
5/11/2021;1
6/11/2021;1
7/11/2021;1
8/11/2021;1
9/11/2021;0
10/11/2021;2
11/11/2021;2
12/11/2021;1
13/11/2021;1
14/11/2021;1
15/11/2021;1
16/11/2021;2
17/11/2021;0
18/11/2021;2
19/11/2021;1
20/11/2021;0
21/11/2021;0
22/11/2021;1
23/11/2021;1
24/11/2021;1
25/11/2021;0
26/11/2021;1
27/11/2021;2
28/11/2021;2
29/11/2021;0
30/11/2021;0
1/12/2021;2
2/12/2021;0
3/12/2021;0
4/12/2021;1
5/12/2021;0
6/12/2021;1
7/12/2021;1
8/12/2021;2
9/12/2021;2
10/12/2021;1
11/12/2021;2
12/12/2021;2
13/12/2021;2
14/12/2021;1
15/12/2021;2
16/12/2021;0
17/12/2021;1
18/12/2021;1
19/12/2021;2
20/12/2021;2
21/12/2021;1
22/12/2021;2
23/12/2021;0
24/12/2021;0
25/12/2021;0
26/12/2021;0
27/12/2021;1
28/12/2021;1
29/12/2021;0
30/12/2021;1
31/12/2021;2
1/01/2022;0
2/01/2022;0
3/01/2022;1
4/01/2022;1
5/01/2022;1
6/01/2022;0
7/01/2022;1
8/01/2022;1
9/01/2022;1
10/01/2022;1
11/01/2022;1
12/01/2022;1
13/01/2022;1
14/01/2022;0
15/01/2022;0
16/01/2022;0
17/01/2022;1
18/01/2022;0
19/01/2022;1
20/01/2022;1
21/01/2022;2
22/01/2022;1
23/01/2022;2
24/01/2022;2
25/01/2022;0
26/01/2022;2
27/01/2022;0
28/01/2022;2
29/01/2022;0
30/01/2022;2
31/01/2022;2
1/02/2022;0
2/02/2022;1
3/02/2022;2
4/02/2022;0
5/02/2022;2
6/02/2022;0
7/02/2022;0
8/02/2022;1
9/02/2022;1
10/02/2022;1
11/02/2022;1
12/02/2022;1
13/02/2022;2
14/02/2022;0
15/02/2022;2
16/02/2022;1
17/02/2022;1
18/02/2022;1
19/02/2022;0
20/02/2022;1
21/02/2022;1
22/02/2022;1
23/02/2022;1
24/02/2022;1
25/02/2022;2
26/02/2022;0
27/02/2022;0
28/02/2022;0
1/03/2022;1
2/03/2022;2
3/03/2022;0
4/03/2022;0
5/03/2022;2
6/03/2022;1
7/03/2022;2
8/03/2022;0
9/03/2022;0
10/03/2022;0
11/03/2022;2
12/03/2022;2
13/03/2022;2
14/03/2022;2
15/03/2022;0
16/03/2022;0
17/03/2022;2
18/03/2022;0
19/03/2022;2
20/03/2022;0
21/03/2022;2
22/03/2022;0
23/03/2022;1
24/03/2022;0
25/03/2022;2
26/03/2022;2
27/03/2022;0
28/03/2022;1
29/03/2022;0
30/03/2022;0
31/03/2022;0
1/04/2022;1
2/04/2022;0
3/04/2022;2
4/04/2022;2
5/04/2022;0
6/04/2022;2
7/04/2022;0
8/04/2022;1
9/04/2022;0
10/04/2022;1
11/04/2022;0
12/04/2022;1
13/04/2022;0
14/04/2022;1
15/04/2022;0
16/04/2022;1
17/04/2022;2
18/04/2022;2
19/04/2022;0
20/04/2022;0
21/04/2022;1
22/04/2022;1
23/04/2022;2
24/04/2022;2
25/04/2022;1
26/04/2022;1
27/04/2022;1
28/04/2022;1
29/04/2022;1
30/04/2022;1
1/05/2022;0
2/05/2022;2
3/05/2022;2
4/05/2022;1
5/05/2022;1
6/05/2022;0
7/05/2022;2
8/05/2022;2
9/05/2022;2
10/05/2022;0
11/05/2022;2
12/05/2022;2
13/05/2022;2
14/05/2022;0
15/05/2022;0
16/05/2022;0
17/05/2022;1
18/05/2022;2
19/05/2022;0
20/05/2022;2
21/05/2022;1
22/05/2022;0
23/05/2022;1
24/05/2022;1
25/05/2022;0
26/05/2022;2
27/05/2022;0
28/05/2022;2
29/05/2022;2
30/05/2022;1
31/05/2022;0
1/06/2022;1
2/06/2022;2
3/06/2022;1
4/06/2022;2
5/06/2022;1
6/06/2022;0
7/06/2022;0
8/06/2022;0
9/06/2022;2
10/06/2022;0
11/06/2022;0
12/06/2022;2
13/06/2022;1
14/06/2022;1
15/06/2022;2
16/06/2022;2
17/06/2022;1
18/06/2022;2
19/06/2022;1
20/06/2022;0
21/06/2022;0
22/06/2022;2
23/06/2022;2
24/06/2022;1
25/06/2022;1
26/06/2022;0
27/06/2022;0
28/06/2022;1
29/06/2022;2
30/06/2022;2
1/07/2022;2
2/07/2022;1
3/07/2022;0
4/07/2022;0
5/07/2022;0
6/07/2022;2
7/07/2022;0
8/07/2022;2
9/07/2022;0
10/07/2022;0
11/07/2022;1
12/07/2022;0
13/07/2022;2
14/07/2022;1
15/07/2022;0
16/07/2022;0
17/07/2022;1
18/07/2022;1
19/07/2022;1
20/07/2022;1
21/07/2022;0
22/07/2022;2
23/07/2022;1
24/07/2022;0
25/07/2022;2
26/07/2022;2
27/07/2022;0
28/07/2022;0
29/07/2022;2
30/07/2022;2
31/07/2022;2
1/08/2022;0
2/08/2022;2
3/08/2022;0
4/08/2022;0
5/08/2022;2
6/08/2022;2
7/08/2022;2
8/08/2022;0
9/08/2022;2
10/08/2022;2
11/08/2022;2
12/08/2022;2
13/08/2022;2
14/08/2022;0
15/08/2022;1
16/08/2022;1
17/08/2022;2
18/08/2022;2
19/08/2022;2
20/08/2022;2
21/08/2022;1
22/08/2022;0
23/08/2022;0
24/08/2022;2
25/08/2022;2
26/08/2022;0
27/08/2022;0
28/08/2022;2
29/08/2022;1
30/08/2022;2
31/08/2022;1
1/09/2022;2
2/09/2022;2
3/09/2022;2
4/09/2022;2
5/09/2022;1
6/09/2022;0
7/09/2022;1
8/09/2022;2
9/09/2022;0
10/09/2022;1
11/09/2022;0
12/09/2022;2
13/09/2022;0
14/09/2022;0
15/09/2022;1
16/09/2022;1
17/09/2022;0
18/09/2022;0
19/09/2022;1
20/09/2022;1
21/09/2022;0
22/09/2022;0
23/09/2022;0
24/09/2022;2
25/09/2022;2
26/09/2022;2
27/09/2022;2
28/09/2022;2
29/09/2022;1
30/09/2022;0
1/10/2022;2
2/10/2022;1
3/10/2022;0
4/10/2022;1
5/10/2022;1
6/10/2022;0
7/10/2022;2
8/10/2022;1
9/10/2022;2
10/10/2022;1
11/10/2022;0
12/10/2022;2
13/10/2022;2
14/10/2022;1
15/10/2022;2
16/10/2022;0
17/10/2022;1
18/10/2022;0
19/10/2022;2
20/10/2022;0
21/10/2022;2
22/10/2022;2
23/10/2022;1
24/10/2022;1
25/10/2022;1
26/10/2022;1
27/10/2022;1
28/10/2022;2
29/10/2022;1
30/10/2022;0
31/10/2022;2
1/11/2022;1
2/11/2022;1
3/11/2022;2
4/11/2022;1
5/11/2022;0
6/11/2022;2
7/11/2022;1
8/11/2022;0
9/11/2022;0
10/11/2022;1
11/11/2022;1
12/11/2022;0
13/11/2022;2
14/11/2022;1
15/11/2022;1
16/11/2022;1
17/11/2022;2
18/11/2022;1
19/11/2022;2
20/11/2022;2
21/11/2022;1
22/11/2022;2
23/11/2022;2
24/11/2022;0
25/11/2022;2
26/11/2022;0
27/11/2022;0
28/11/2022;2
29/11/2022;2
30/11/2022;2
1/12/2022;2
2/12/2022;1
3/12/2022;0
4/12/2022;2
5/12/2022;2
6/12/2022;0
7/12/2022;0
8/12/2022;0
9/12/2022;2
10/12/2022;0
11/12/2022;0
12/12/2022;0
13/12/2022;2
14/12/2022;1
15/12/2022;0
16/12/2022;2
17/12/2022;1
18/12/2022;1
19/12/2022;0
20/12/2022;2
21/12/2022;1
22/12/2022;1
23/12/2022;2
24/12/2022;0
25/12/2022;0
26/12/2022;2
27/12/2022;1
28/12/2022;1
29/12/2022;1
30/12/2022;0
31/12/2022;0
1/01/2023;2
2/01/2023;0
3/01/2023;2
4/01/2023;2
5/01/2023;2
6/01/2023;1
7/01/2023;1
8/01/2023;2
9/01/2023;0
10/01/2023;2
11/01/2023;2
12/01/2023;2
13/01/2023;2
14/01/2023;0
15/01/2023;0
16/01/2023;2
17/01/2023;2
18/01/2023;2
19/01/2023;1
20/01/2023;1
21/01/2023;0
22/01/2023;1
23/01/2023;1
24/01/2023;0
25/01/2023;1
26/01/2023;2
27/01/2023;0
28/01/2023;2
29/01/2023;0
30/01/2023;2
31/01/2023;2
1/02/2023;2
2/02/2023;1
3/02/2023;1
4/02/2023;1
5/02/2023;2
6/02/2023;0
7/02/2023;2
8/02/2023;1
9/02/2023;1
10/02/2023;0
11/02/2023;2
12/02/2023;0
13/02/2023;0
14/02/2023;2
15/02/2023;2
16/02/2023;2
17/02/2023;1
18/02/2023;1
19/02/2023;1
20/02/2023;0
21/02/2023;0
22/02/2023;1
23/02/2023;1
24/02/2023;1
25/02/2023;1
26/02/2023;1
27/02/2023;2
28/02/2023;2
1/03/2023;1
2/03/2023;2
3/03/2023;2
4/03/2023;2
5/03/2023;0
6/03/2023;2
7/03/2023;0
8/03/2023;2
9/03/2023;2
10/03/2023;2
11/03/2023;1
12/03/2023;2
13/03/2023;0
14/03/2023;1
15/03/2023;1
16/03/2023;2
17/03/2023;1
18/03/2023;1
19/03/2023;1
20/03/2023;2
21/03/2023;1
22/03/2023;0
23/03/2023;2
24/03/2023;0
25/03/2023;2
26/03/2023;2
27/03/2023;0
28/03/2023;1
29/03/2023;0
30/03/2023;1
31/03/2023;2
1/04/2023;0
2/04/2023;2
3/04/2023;2
4/04/2023;2
5/04/2023;1
6/04/2023;2
7/04/2023;0
8/04/2023;2
9/04/2023;2
10/04/2023;0
11/04/2023;0
12/04/2023;2
13/04/2023;1
14/04/2023;1
15/04/2023;1
16/04/2023;1
17/04/2023;2
18/04/2023;1
19/04/2023;1
20/04/2023;1
21/04/2023;1
22/04/2023;0
23/04/2023;1
24/04/2023;1
25/04/2023;2
26/04/2023;1
27/04/2023;1
28/04/2023;1
29/04/2023;1
30/04/2023;2
1/05/2023;1
2/05/2023;1
3/05/2023;2
4/05/2023;2
5/05/2023;1
6/05/2023;1
7/05/2023;1
8/05/2023;2
9/05/2023;1
10/05/2023;2
11/05/2023;1
12/05/2023;0
13/05/2023;0
14/05/2023;1
15/05/2023;0
16/05/2023;2
17/05/2023;0
18/05/2023;1
19/05/2023;0
20/05/2023;1
21/05/2023;0
22/05/2023;2
23/05/2023;2
24/05/2023;0
25/05/2023;1
26/05/2023;2
27/05/2023;1
28/05/2023;1
29/05/2023;2
30/05/2023;1
31/05/2023;1
1/06/2023;0
2/06/2023;0
3/06/2023;0
4/06/2023;1
5/06/2023;0
6/06/2023;1
7/06/2023;0
8/06/2023;1
9/06/2023;1
10/06/2023;1
11/06/2023;0
12/06/2023;0
13/06/2023;1
14/06/2023;1
15/06/2023;2
16/06/2023;2
17/06/2023;1
18/06/2023;1
19/06/2023;0
20/06/2023;1
21/06/2023;1
22/06/2023;1
23/06/2023;1
24/06/2023;1
25/06/2023;0
26/06/2023;2
27/06/2023;0
28/06/2023;0
29/06/2023;2
30/06/2023;1
